text	label
Dok je lijepo snimljena , priča je pojednostavljena kako bi zadovoljila malu djecu .	3
Srbija 17.05.2018 .	1
Radnja prati više likova čije se sudbine isprepliću na najvećoj svjetskoj atrakciji zvanoj ‘ Jurski Svijet ’ u kojem se šeću razne vrste genetski modificiranih dinosarusa koji privlače desetine tisuća tirusta svake godine .	1
Opet se gledatelje dovodi u svijet neodređene , i uvjetno rečeno , bliske budućnosti u kojoj je korporacija pod imenom Delos razvila tehnologiju za proizvodnju robota izgledom , ponašanjem i drugim detaljima gotovo identični ljudima .	1
U kinima od :	1
Trajanje filma : 01 : 46 : 00	1
Možda je to zašto su scenaristi krenuli naopako .	0
U kinima od : 19 May 2017 ( USA )	1
Titlovan Trailer Filma :	1
Na papiru , ovo se može gledati kao na problem , ali u stvarnosti , to je zapravo vrlo pametan potez .	3
Ali u onim posebnim trenucima kada prevladava prevrtanje , on je u stanju pokazati povremene akcije kajanja , čak u jednom trenutku plače .	2
Već sada teži oko miljardu i 400 dolara širom svijeta a vjerujem da će se približiti cifri od 2 milijarde jer izašao tek 12 . juna a na trećem je mjestu filmova sa najvećom zaradom .	2
Godina 2015	1
Postavljen u trenutnoj godini , nova vrsta Terminatora pod nazivom Rev - 9 ( Diego Luna – Marvel Agenti SHIELD TV serije itd . )	1
U kinima od :	1
Osim onih manjih nedostataka koje smo moja djevojka i ja osjećali , još smo uživali u ovom filmu .	3
Bio je smijesan , iskren u svim pravim mjestima i vrlo pametno napravljen .	2
Jedna stvar koju sam primijetio da nedostaje ovdje , jeste da razbijanje četvrtog zida nije bilo često u poređenju sa originalnim filmom i da su ga više zamijenile pripovijesti od strane Deadpool-a .	1
A to je dobar povod za isto tako neumitne usporedbe između njegove filmske i televizijske inkarnacije ( pri čemu se ne treba računati kratkotrajna , brzo ugašena i vjerojatno brže zaboravljena TV-serija Beyond Westworld iz 1980 . godine ) , odnosno jasan prikaz kako su se stvari bitno promijenile od 1973 . godine .	1
Podsjećao je radnjom i stilom malo na ‘ Jumanji ' ( bezvremenski klasik iz devedesetih ) , ali kada se klupko počelo odmotavati , shvatio sam da mi se neće toliko svidjeti .	3
Srbija 02.10.2019 .	1
Sama priča je pojednostavljena tako da dobro radi u kontekstu .	2
Međutim , ugodne tematske ideje omekšavaju prisutnost karikatura i dijaloga .	2
Njegova interakcija s njegovim pomoćnikom Boughom ( koji je ponovno preuzeo ulogu s prvog filma Johnny Englisha iz 2003 . )	1
Film također sadrži poruke o prijateljstvu , snovima i osjećaju svrhe .	2
Danas postoje gore opcije od zabave koja traži istinitost i iskrenost , a to je upravo ono što donosi .	3
Bila je kratka scena za koju mislim da bi nam dali nagovještaj onoga što će doći u trećem filmu ( zakazanom za 3 godine ) .	1
Claire ( Bryce Dallas Howard – Pete ’ s Dragon , The Help itd . )	1
Malcolm redovito ratuje sa svojom kćerkom Madeline ( Morgana Davies ) .	1
Napisala Jill Culton , a režirali Jill Culton i Todd Wilderman ( ko-redatelj ) , „ Abominable “ je odličan animirani film za cijelu obitelj .	2
Trajanje filma : 02 : 04 : 00	1
Tvoj izbor .	1
koji je bio savršena osoba koja je pratila Blue , pametan i inteligentan Raptor .	2
